Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Nynäsvägen 307,Enskede - Gamla Enskede,Stockholms kommun,2020-09-03,3300000,3300000,Lägenhet,Bostadsrätt,2 ,61 ,False,1 av 3,False,1911,3810,4200
Tallkrogsvägen 6C,Enskede - Gamla Enskede,Stockholms kommun,2020-08-28,3290000,2995000,Lägenhet,Bostadsrätt,2 ,56 ,False,,,1927,2412,5100
Täppgränd 6,Enskede/Enskededalen,Stockholms kommun,2020-08-08,2900000,2495000,Lägenhet,Bostadsrätt,2 ,64 ,True,,,1982,3401,3636
Odelbergsvägen 21,Enskede Gård,Stockholms kommun,2020-07-31,2750000,2595000,Lägenhet,Bostadsrätt,2 ,47 ,True,2 av 3,True,1932,2863,5000
Jönåkersvägen 1,Svedmyra/enskede,Stockholms kommun,2020-05-18,2750000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 3,False,1950,2761,6209
Stora Gungans Väg 4,Gamla Enskede,Stockholms kommun,2020-04-09,3350000,2950000,Lägenhet,Bostadsrätt,2 ,65 ,False,,,1914,2817,6588
Sockenvägen 482,Gamla Enskede,Stockholms kommun,2020-02-26,3075000,2695000,Lägenhet,Bostadsrätt,2 ,49 ,True,2 av 3,False,1945,3560,4800
Täppgränd 105,Enskededalen,Stockholms kommun,2020-01-31,2560000,2395000,Lägenhet,Bostadsrätt,2 ,75 ,True,,,1982,3488,1500
Postiljonsvägen 5,Svedmyra,Stockholms kommun,2019-05-22,2680000,2290000,Lägenhet,Bostadsrätt,2 ,"35,3 ",,,,1949,2151,2000
Tallkrogsvägen 6 D,Gamla Enskede,Stockholms kommun,2018-10-01,3450000,3395000,Lägenhet,Bostadsrätt,2 ,55 ,,,,1927,2632,4800
Talmansgränd 3,Enskede/Enskededalen,Stockholms kommun,2018-09-26,4100000,3195000,Lägenhet,Bostadsrätt,2 ,59 ,,,,1930,3542,6000
Stora Gungans väg 5 VIND,Gamla Enskede,Stockholms kommun,2018-02-23,3000000,2650000,Lägenhet,Bostadsrätt,2 ,39 ,,,,1909,2386,3480
"Nynäsvägen 335, 3 tr",Gamla Enskede,Stockholms kommun,2016-08-18,2700000,2395000,Lägenhet,Bostadsrätt,2 ,41 ,,,,1927,2131,4700
"Nynäsvägen 341, 3tr",Gamla Enskede,Stockholms kommun,2015-06-17,3150000,2690000,Lägenhet,Bostadsrätt,2 ,62 ,,,,1930,3237,5400
"Nynäsvägen 337, 3 tr",Gamla Enskede,Stockholms kommun,2014-10-09,2900000,2150000,Lägenhet,Bostadsrätt,2 ,46 ,,,,1927,2182,8400
