Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Pollargatan 22, pl 3",Hammarby Sjöstad,Stockholms kommun,2021-07-12,4125000,3995000,Lägenhet,Bostadsrätt,2 ,54 ,True,3 av 6,True,2011,3587,5000
Virkesvägen 17C,Hammarby Sjöstad,Stockholms kommun,2021-06-30,3850000,3900000,Lägenhet,Bostadsrätt,2 ,49 ,True,1 av 6,True,2018,2764,
"Fartygsgatan 2, 6 tr",Hammarby Sjöstad,Stockholms kommun,2021-06-17,5925000,5500000,Lägenhet,Bostadsrätt,2 ,"73,5 ",True,6 av 6,True,2007,4471,5400
Virkesvägen 9b,Hammarby Sjöstad,Stockholms kommun,2021-06-17,4500000,3995000,Lägenhet,Bostadsrätt,2 ,"62,5 ",True,1,True,2020,3355,5400
Sjöfartsgatan 9,Hammarby Sjöstad,Stockholms kommun,2021-06-10,3775000,3495000,Lägenhet,Bostadsrätt,2 ,46 ,True,4,True,2008,3306,9600
Babordsgatan 8,Hammarby Sjöstad,Stockholms kommun,2021-06-09,3900000,3495000,Lägenhet,Bostadsrätt,2 ,55 ,False,,,2002,3028,10596
"Hästholmsvägen 17, 6 tr",Södermalm - Sofia,Stockholms kommun,2021-06-09,4010000,3395000,Lägenhet,Bostadsrätt,2 ,49 ,True,6 av 8,True,1945,3004,5000
Sickla Kanalgata 56,Hammarby Sjöstad,Stockholms kommun,2021-05-28,6200000,5995000,Lägenhet,Bostadsrätt,2 ,72 ,True,3 av 5,True,2001,4300,9500
Lumaparksvägen 3,Hammarby Sjöstad,Stockholms kommun,2021-05-25,4275000,4295000,Lägenhet,Bostadsrätt,2 ,56 ,False,,,2016,3505,5000
Fredriksdalsgatan 4,Hammarby Sjöstad,Stockholms kommun,2021-05-25,4225000,4300000,Lägenhet,Bostadsrätt,2 ,55 ,True,1 av 6,True,2018,2952,4860
"Fartygsgatan 8, 4tr",Hammarby Sjöstad,Stockholms kommun,2021-05-25,4130000,3895000,Lägenhet,Bostadsrätt,2 ,"55,5 ",True,4 av 6,True,2007,3733,3500
Babordsgatan 9,Hammarby Sjöstad,Stockholms kommun,2021-05-23,3750000,2995000,Lägenhet,Bostadsrätt,2 ,42 ,True,2 av 4,True,2003,2731,6200
"Heliosgatan 16A, 4 tr",Hammarby Sjöstad,Stockholms kommun,2021-05-18,3895000,3895000,Lägenhet,Bostadsrätt,2 ,56 ,True,4,True,2019,3714,2400
Kölnagatan 6,Hammarby Sjöstad,Stockholms kommun,2021-05-11,3350000,2750000,Lägenhet,Bostadsrätt,2 ,42 ,True,0,True,2003,2731,3600
"Kölnagatan 12, BV",Hammarby Sjöstad,Stockholms kommun,2021-05-05,3320000,2750000,Lägenhet,Bostadsrätt,2 ,42 ,False,,,2003,2731,3792
"Fredriksdalsgatan 1, vån 7",Hammarby Sjöstad,Stockholms kommun,2021-05-05,5360000,4795000,Lägenhet,Bostadsrätt,2 ,63 ,True,7 av 8,True,2016,3533,4800
Stapelgatan 4,Hammarby Sjöstad,Stockholms kommun,2021-05-03,4810000,4295000,Lägenhet,Bostadsrätt,2 ,60 ,True,1,True,2013,2803,
