Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Kalmgatan 20,Hammarbyhöjden,Stockholms kommun,2021-01-28,3130000,2450000,Lägenhet,Bostadsrätt,2 ,39 ,True,3 av 3,False,1935,2794,4836
Mariestadsvägen 10,Hammarbyhöjden,Stockholms kommun,2021-01-27,2550000,2495000,Lägenhet,Bostadsrätt,2 ,"40,5 ",True,2 av 3,False,1942,3356,3500
"Strahlenbergsgatan 26, 2 tr",Hammarbyhöjden/Johanneshov,Stockholms kommun,2021-01-27,2800000,2250000,Lägenhet,Bostadsrätt,2 ,38 ,True,2 av 3,False,1938,3000,6456
Boråsvägen 23,Hammarbyhöjden,Stockholms kommun,2021-01-26,3500000,3500000,Lägenhet,Bostadsrätt,2 ,59 ,True,2 av 3,False,1939,4836,4800
"Kolbäcksgränd 14, 6tr",Bagarmossen,Stockholms kommun,2021-01-25,3200000,2450000,Lägenhet,Bostadsrätt,2 ,56 ,True,6 av 7,True,1954,3979,4920
Nathorstvägen 38,Hammarbyhöjden,Stockholms kommun,2021-01-24,3000000,2295000,Lägenhet,Bostadsrätt,2 ,41 ,True,5 av 6,True,1995,3466,2604
Kolbäcksgränd 25,Bagarmossen,Stockholms kommun,2021-01-23,2810000,2400000,Lägenhet,Bostadsrätt,2 ,60 ,True,1 av 3,False,1954,3910,5200
Kolbäcksgränd 1,Bagarmossen,Stockholms kommun,2021-01-22,2250000,1995000,Lägenhet,Bostadsrätt,2 ,39 ,True,1 av 3,False,1954,2853,4000
Fogdevägen 47,Bagarmossen,Stockholms kommun,2021-01-21,2750000,2250000,Lägenhet,Bostadsrätt,2 ,48 ,True,3 av 4,True,2008,3301,8640
Lidköpingsvägen 62,Hammarbyhöjden,Stockholms kommun,2021-01-20,3850000,3395000,Lägenhet,Bostadsrätt,2 ,58 ,True,1 av 3,False,1944,2892,4800
Ballonggatan 7,Skarpnäck,Stockholms kommun,2021-01-20,2250000,2195000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,2 av 4,True,1985,4444,4200
Karlsborgsvägen 10,Hammarbyhöjden,Stockholms kommun,2021-01-20,3540000,2895000,Lägenhet,Bostadsrätt,2 ,53 ,True,2 av 3,False,1943,3422,4320
Mariestadsvägen 6,Hammarbyhöjden,Stockholms kommun,2021-01-19,2600000,2095000,Lägenhet,Bostadsrätt,2 ,"37,5 ",False,1 av 3,False,1942,3042,5880
"Finngrundsvägen 3, 5tr",Blåsut,Stockholms kommun,2021-01-19,4400000,3495000,Lägenhet,Bostadsrätt,2 ,"60,5 ",True,5 av 6,True,2019,3117,11220
Nathorstvägen 40,Hammarbyhöjden - Skärmarbrink,Stockholms kommun,2021-01-17,2810000,2475000,Lägenhet,Bostadsrätt,2 ,41 ,True,4 av 6,True,1995,3467,2400
Petrejusvägen 59,Hammarbyhöjden,Stockholms kommun,2021-01-15,3550000,3195000,Lägenhet,Bostadsrätt,2 ,56 ,True,2 av 3,False,1939,3616,6552
Horisontvägen 97 C,Skarpnäck,Stockholms kommun,2021-01-14,1950000,1895000,Lägenhet,Bostadsrätt,2 ,35 ,,0 av 5,True,1989,2620,5400
Ronnebyvägen 13,Björkhagen,Stockholms kommun,2021-01-13,3350000,2795000,Lägenhet,Bostadsrätt,2 ,57 ,True,1 av 3,False,1947,3446,7450
Alingsåsvägen 12,Hammarbyhöjden,Stockholms kommun,2021-01-13,3750000,2950000,Lägenhet,Bostadsrätt,2 ,51 ,True,2 av 3,False,1939,3496,4380
Fyrskeppsvägen 106,Kärrtorp,Stockholms kommun,2021-01-12,3200000,2495000,Lägenhet,Bostadsrätt,2 ,56 ,True,1 av 3,False,1949,3614,7800
Läckövägen 35,Hammarbyhöjden,Stockholms kommun,2021-01-12,2850000,2550000,Lägenhet,Bostadsrätt,2 ,41 ,True,1 av 3,False,1942,2330,2400
"Hässleholmsvägen 9, 3tr",Björkhagen,Stockholms kommun,2021-01-07,3600000,3600000,Lägenhet,Bostadsrätt,2 ,54 ,True,3 av 6,True,1947,3001,3048
Åkerbladsgatan 8,Hammarbyhöjden/Johanneshov,Stockholms kommun,2021-01-06,2685000,2250000,Lägenhet,Bostadsrätt,2 ,43 ,False,1 av 3,False,1936,3096,8004
Finngrundsvägen 5,Hammarbyhöjden,Stockholms kommun,2020-12-14,3250000,2995000,Lägenhet,Bostadsrätt,2 ,41 ,True,4 av 6,True,2019,2194,4812
"Läckövägen 9, 1 tr",Hammarbyhöjden,Stockholms kommun,2020-12-11,2520000,2195000,Lägenhet,Bostadsrätt,2 ,38 ,False,1 av 3,False,1942,2638,7992
Skarabacken 49,Hammarbyhöjden,Stockholms kommun,2020-12-11,2710000,2395000,Lägenhet,Bostadsrätt,2 ,39 ,True,2 av 3,False,1942,2903,3300
Vingavägen 7,Blåsut,Stockholms kommun,2020-12-08,4250000,3250000,Lägenhet,Bostadsrätt,2 ,64 ,True,3 av 5,True,2013,3413,8124
