Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Karlbergsvägen 76, 2 tr - ACCEPTERAT PRIS",Vasastan,Stockholms kommun,2022-06-30,5400000,5550000,Lägenhet,Bostadsrätt,2 ,61 ,True,2 av 5,True,1985,2238,4080
Birger Jarlsgatan 111C - Accepterat pris,Vasastan,Stockholms kommun,2022-06-30,6100000,6200000,Lägenhet,Bostadsrätt,2 ,56 ,True,4 av 4,False,1906,2520,
"Norrtullsgatan 36, 1,5 tr.",Vasastan,Stockholms kommun,2022-06-29,3795000,3795000,Lägenhet,Bostadsrätt,2 ,41 ,True,1,True,1939,2365,
"Torsgatan 31, 2 tr",Vasastan - Atlas,Stockholms kommun,2022-06-29,3650000,3800000,Lägenhet,Bostadsrätt,2 ,30 ,False,2 av 6,True,1929,1620,
Frejgatan 42,Vasastan,Stockholms kommun,2022-06-28,4800000,5300000,Lägenhet,Bostadsrätt,2 ,50 ,False,,,1886,1918,6120
"Torsgatan 25, 4tr",Vasastan - S:t Eriksplan,Stockholms kommun,2022-06-28,7495000,7495000,Lägenhet,Bostadsrätt,2 ,73 ,,4 av 5,True,1927,3584,
"Karlbergsvägen 51A, 2 tr ög",Vasastan,Stockholms kommun,2022-06-28,7300000,6995000,Lägenhet,Bostadsrätt,2 ,62 ,True,2,False,1906,2667,
"Gästrikegatan 9, tr 1 ö.g",Vasastaden,Stockholms kommun,2022-06-27,6995000,6995000,Lägenhet,Bostadsrätt,2 ,50 ,True,1,False,1909,2343,
"Norrtullsgatan 25 C, 4 tr",Vasastan - invid Odenplan,Stockholms kommun,2022-06-27,6250000,6395000,Lägenhet,Bostadsrätt,2 ,57 ,True,4 av 5,True,1900,2710,
Norrbackagatan 25B,Birkastan/Vasastan,Stockholms kommun,2022-06-23,5775000,5800000,Lägenhet,Bostadsrätt,2 ,60 ,False,3 av 5,True,1930,2694,5460
Sveavägen 87,Vasastan,Stockholms kommun,2022-06-23,4800000,4495000,Lägenhet,Bostadsrätt,2 ,45 ,False,1 av 5,True,1926,2113,5600
