Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Katarina Västra Kyrkogata 4C,Katarina,Stockholms kommun,2022-06-17,5300000,5750000,Lägenhet,Bostadsrätt,2 ,52 ,,1,False,1915,3239,7200
Ölandsgatan 46,Södermalm,Stockholms kommun,2022-06-17,3750000,3800000,Lägenhet,Bostadsrätt,2 ,38 ,False,1,True,1929,2465,5880
Stigbergsgatan 32B,Södermalm,Stockholms kommun,2022-06-17,4900000,4650000,Lägenhet,Bostadsrätt,2 ,48 ,False,,,1930,2036,9999
"Krukmakargatan 49, 3tr",Högalid,Stockholms kommun,2022-06-16,5790000,5495000,Lägenhet,Bostadsrätt,2 ,63 ,True,3,True,1988,2736,8194
"Heleneborgsgatan 12A, 4 tr",Södermalm - Hornstull,Stockholms kommun,2022-06-16,8100000,6950000,Lägenhet,Bostadsrätt,2 ,65 ,True,4 av 6,True,1923,2185,7440
Repslagargatan 10A,Södermalm,Stockholms kommun,2022-06-16,4950000,4795000,Lägenhet,Bostadsrätt,2 ,"58,5 ",,5 av 5,True,1992,4112,4680
"Timmermansgatan 44, 4 tr",Södermalm - Mariatorget,Stockholms kommun,2022-06-16,4400000,3995000,Lägenhet,Bostadsrätt,2 ,42 ,True,4 av 4,True,1945,2584,8300
Kristinehovsgatan 5B,Högalid,Stockholms kommun,2022-06-15,3050000,,Lägenhet,Bostadsrätt,2 ,36 ,,1,True,1941,2357,5388
Åsögatan 98,Södermalm Katarina,Stockholms kommun,2022-06-15,4400000,3995000,Lägenhet,Bostadsrätt,2 ,30 ,True,6 av 6,True,1936,1901,4560
"Ringvägen 83, gårdshus",Södermalm Katarina,Stockholms kommun,2022-06-15,5300000,4750000,Lägenhet,Bostadsrätt,2 ,50 ,True,2 av 5,True,1932,2639,
"Katarina bangata 52, 4tr",Södermalm Sofia,Stockholms kommun,2022-06-15,5900000,5750000,Lägenhet,Bostadsrätt,2 ,59 ,True,4 av 6,True,1905,3010,
Folkskolegatan 6,Hornstull,Stockholms kommun,2022-06-14,3930000,3495000,Lägenhet,Bostadsrätt,2 ,45 ,True,1 av 4,True,1929,3150,6284
Krukmakargatan 26,Södermalm,Stockholms kommun,2022-06-14,4550000,4550000,Lägenhet,Bostadsrätt,2 ,51 ,False,6 av 6,True,1989,2715,4924
Heleneborgsgatan 15A,Södermalm - Maria Högalid,Stockholms kommun,2022-06-12,4800000,4200000,Lägenhet,Bostadsrätt,2 ,52 ,False,2,False,1911,3156,7200
"Fatburs Brunnsgata 26, 8tr",Södermalm - Maria,Stockholms kommun,2022-06-11,7100000,,Lägenhet,Bostadsrätt,2 ,69 ,True,8 av 8,True,1991,3435,4800
Högalidsgatan 32B,Hornstull,Stockholms kommun,2022-06-10,3600000,,Lägenhet,Bostadsrätt,2 ,40 ,True,2,True,1914,1593,6994
"Heleneborgsgatan 40, 2 tr.",Södermalm,Stockholms kommun,2022-06-10,4200000,3950000,Lägenhet,Bostadsrätt,2 ,40 ,True,2 av 6,True,1928,2284,5400
"Bjurholmsplan 23, 2,5 tr",Södermalm - Nytorget,Stockholms kommun,2022-06-10,4825000,4150000,Lägenhet,Bostadsrätt,2 ,45 ,True,2,True,1929,3238,6213
Ringvägen 127A,Södermalm,Stockholms kommun,2022-06-10,5900000,5495000,Lägenhet,Bostadsrätt,2 ,59 ,False,4,True,1929,2177,5880
"Högalidsgatan 32A, vån 4",Södermalm,Stockholms kommun,2022-06-10,4300000,3695000,Lägenhet,Bostadsrätt,2 ,38 ,False,4 av 5,True,1914,1708,4320
"Bergsundsgatan 4, 7 tr",Hornstull,Stockholms kommun,2022-06-10,7450000,6950000,Lägenhet,Bostadsrätt,2 ,63 ,True,7 av 7,True,,2204,6900
